,amenities
955,"{tv,""cable tv"",wifi,""air conditioning"",pool,kitchen,""free parking on premises"",gym,elevator,""indoor fireplace"",heating,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,hangers,iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_50""}"
956,"{tv,""cable tv"",internet,wifi,kitchen,""free parking on premises"",""pets allowed"",breakfast,""free street parking"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_50"",""self check-in"",keypad,""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""bbq grill"",""garden or backyard"",""baking sheet"",""barbecue utensils"",""trash can""}"
957,"{tv,""cable tv"",internet,wifi,""air conditioning"",kitchen,""free parking on premises"",""pets allowed"",""free street parking"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",essentials,shampoo,""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private entrance"",""hot water"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""cooking basics"",""garden or backyard""}"
958,"{tv,internet,wifi,kitchen,""free parking on premises"",""free street parking"",""hot tub"",""indoor fireplace"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",essentials,shampoo,""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""private entrance"",bathtub,""high chair"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""patio or balcony"",""garden or backyard"",""long term stays allowed""}"
959,"{tv,""cable tv"",internet,wifi,""air conditioning"",""free parking on premises"",""pets live on this property"",dog(s),""free street parking"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",essentials,shampoo,""lock on bedroom door"",""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private living room"",""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",""ethernet connection"",""pocket wifi"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""host greets you""}"
960,"{tv,""cable tv"",internet,wifi,""air conditioning"",pool,kitchen,""free street parking"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""self check-in"",lockbox,""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",""ethernet connection"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""bbq grill"",""patio or balcony"",""garden or backyard""}"
961,"{tv,wifi,kitchen,""free parking on premises"",""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""self check-in"",keypad,""private living room"",""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""cooking basics"",""single level home"",""long term stays allowed""}"
962,"{tv,""cable tv"",internet,wifi,""air conditioning"",pool,kitchen,gym,elevator,""free street parking"",""hot tub"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,bathtub,""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""bbq grill"",""patio or balcony"",""long term stays allowed"",""paid parking on premises"",""trash can""}"
963,"{tv,""cable tv"",internet,wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",essentials,shampoo,""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",""smart lock"",""high chair"",""stair gates"",crib,""pack ’n play/travel crib"",""room-darkening shades"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""long term stays allowed""}"
964,"{tv,""cable tv"",internet,wifi,""air conditioning"",pool,kitchen,gym,elevator,""free street parking"",""hot tub"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""hot water"",""bed linens"",""extra pillows and blankets"",""ethernet connection"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""patio or balcony"",""long term stays allowed"",""paid parking on premises""}"
965,"{tv,wifi,kitchen,""free parking on premises"",breakfast,heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""private entrance"",bathtub,""children’s books and toys"",""pack ’n play/travel crib"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""bbq grill"",""patio or balcony"",""garden or backyard"",""luggage dropoff allowed""}"
966,"{tv,wifi,kitchen,breakfast,""free street parking"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",""smart lock"",""private entrance"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""bbq grill"",""patio or balcony"",""luggage dropoff allowed"",""long term stays allowed""}"
967,"{wifi,kitchen,""free parking on premises"",heating,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""private living room"",""private entrance"",""hot water"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""cooking basics"",stove,other}"
968,"{tv,""cable tv"",internet,wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",heating,""family/kid friendly"",""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private entrance"",""hot water"",""private bathroom"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""long term stays allowed"",""host greets you""}"
969,"{tv,""cable tv"",wifi,kitchen,""free parking on premises"",""pets allowed"",heating,""family/kid friendly"",""suitable for events"",washer,dryer,essentials,shampoo,""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace""}"
970,"{tv,""cable tv"",internet,wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",""hot tub"",""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",essentials,shampoo,""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_50"",""self check-in"",lockbox,""private entrance"",""hot water"",""bed linens"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""bbq grill"",""patio or balcony"",""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed"",""cleaning before checkout""}"
971,"{tv,""cable tv"",internet,wifi,""free parking on premises"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,""single level home"",""shower gel""}"
972,"{""cable tv"",wifi,kitchen,heating,washer,dryer,shampoo,""24-hour check-in"",""hair dryer"",iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
973,"{tv,internet,wifi,""air conditioning"",""free parking on premises"",""indoor fireplace"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace""}"
974,"{tv,""cable tv"",wifi,kitchen,""free parking on premises"",""free street parking"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",essentials,""hair dryer"",iron,""self check-in"",lockbox,""private living room"",""baby monitor"",""outlet covers"",bathtub,""baby bath"",""changing table"",""high chair"",""children’s books and toys"",""babysitter recommendations"",crib,""pack ’n play/travel crib"",""room-darkening shades"",""children’s dinnerware"",""hot water"",""bed linens"",microwave,refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""bbq grill"",""patio or balcony"",""garden or backyard"",""luggage dropoff allowed""}"
975,"{tv,""cable tv"",internet,wifi,""air conditioning"",pool,kitchen,gym,elevator,""free street parking"",""hot tub"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""hot water"",""bed linens"",""extra pillows and blankets"",""ethernet connection"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""patio or balcony"",""long term stays allowed"",""paid parking on premises""}"
976,"{internet,wifi,""air conditioning"",kitchen,""free street parking"",heating,""family/kid friendly"",""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",lockbox,""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,""dishes and silverware""}"
977,"{tv,""cable tv"",internet,wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""cooking basics"",oven,stove,""single level home""}"
978,"{tv,""cable tv"",internet,wifi,""air conditioning"",pool,kitchen,gym,elevator,""free street parking"",""hot tub"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""hot water"",""bed linens"",""extra pillows and blankets"",""ethernet connection"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""patio or balcony"",""long term stays allowed"",""paid parking on premises""}"
979,"{tv,wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,""lock on bedroom door"",hangers,iron,""laptop-friendly workspace"",""self check-in"",keypad,""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""cooking basics"",oven,stove,""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed""}"
980,"{tv,""cable tv"",wifi,kitchen,heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace""}"
981,"{tv,""cable tv"",wifi,""free parking on premises"",""pets live on this property"",dog(s),heating,washer,dryer,""smoke alarm"",""first aid kit"",""fire extinguisher"",""lock on bedroom door"",""24-hour check-in"",""hair dryer"",iron,""laptop-friendly workspace""}"
982,"{tv,""cable tv"",internet,wifi,""air conditioning"",kitchen,""free parking on premises"",""pets allowed"",gym,elevator,""free street parking"",""buzzer/wireless intercom"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",essentials,shampoo,""lock on bedroom door"",""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",lockbox,""private living room"",bathtub,""high chair"",crib,""pack ’n play/travel crib"",""room-darkening shades"",""game console"",""hot water"",""bed linens"",""extra pillows and blankets"",""ethernet connection"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""ev charger"",""single level home"",""bbq grill"",""patio or balcony"",""long term stays allowed""}"
983,"{tv,""cable tv"",internet,wifi,kitchen,""free parking on premises"",""free street parking"",""indoor fireplace"",heating,washer,dryer,essentials,shampoo,hangers,iron,""laptop-friendly workspace"",""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",""host greets you""}"
984,"{tv,""cable tv"",internet,wifi,""air conditioning"",kitchen,""free street parking"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""hot water"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""cooking basics"",stove,""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed"",""host greets you""}"
985,"{tv,""cable tv"",internet,wifi,""air conditioning"",kitchen,""free parking on premises"",""pets allowed"",""pets live on this property"",dog(s),""free street parking"",""indoor fireplace"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""hot water"",microwave,refrigerator,""dishes and silverware"",""cooking basics"",""garden or backyard"",""long term stays allowed"",""host greets you""}"
986,"{tv,internet,wifi,kitchen,""free parking on premises"",gym,""free street parking"",""indoor fireplace"",heating,""suitable for events"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,""24-hour check-in"",hangers,iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""hot water"",other}"
987,"{tv,internet,wifi,""air conditioning"",kitchen,""free street parking"",heating,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""self check-in"",keypad,""hot water""}"
988,"{internet,wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,""lock on bedroom door"",""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",lockbox,""hot water"",""luggage dropoff allowed"",""long term stays allowed""}"
989,"{tv,""cable tv"",internet,wifi,""air conditioning"",kitchen,""pets allowed"",""free street parking"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""safety card"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""hot water"",""bed linens"",""coffee maker"",""luggage dropoff allowed"",""long term stays allowed""}"
990,"{tv,wifi,""air conditioning"",kitchen,""free parking on premises"",""pets allowed"",""indoor fireplace"",heating,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""private living room"",""high chair"",""children’s books and toys"",""pack ’n play/travel crib"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""bbq grill"",""luggage dropoff allowed""}"
991,"{tv,""cable tv"",wifi,kitchen,""free parking on premises"",""free street parking"",heating,essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",""laptop-friendly workspace"",""private living room"",""hot water"",""bed linens"",""extra pillows and blankets"",""ethernet connection"",""pocket wifi"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,""garden or backyard"",""long term stays allowed"",""host greets you""}"
992,"{tv,internet,wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",heating,""family/kid friendly"",""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""hot water"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""cooking basics"",oven,stove,""patio or balcony""}"
993,"{tv,""cable tv"",wifi,pool,kitchen,""free parking on premises"",breakfast,""indoor fireplace"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace""}"
994,"{wifi,kitchen,""free parking on premises"",""free street parking"",washer,dryer,essentials,shampoo,hangers,""hot water"",microwave,dishwasher,""single level home""}"
995,"{tv,internet,wifi,""air conditioning"",kitchen,""free parking on premises"",""smoking allowed"",""pets allowed"",""free street parking"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""hot water"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""cooking basics"",oven,stove,""garden or backyard""}"
996,"{tv,wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""private entrance"",bathtub,""high chair"",""children’s books and toys"",""babysitter recommendations"",""pack ’n play/travel crib"",""room-darkening shades"",""children’s dinnerware"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed"",""cleaning before checkout"",""baking sheet""}"
997,"{tv,""cable tv"",internet,wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",lockbox,""private living room"",""private entrance"",""outlet covers"",""children’s books and toys"",""window guards"",""table corner guards"",""babysitter recommendations"",""pack ’n play/travel crib"",""room-darkening shades"",""children’s dinnerware"",""game console"",""hot water"",""bed linens"",""extra pillows and blankets"",""ethernet connection"",""pocket wifi"",microwave,""coffee maker"",dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""patio or balcony"",""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed"",""cleaning before checkout""}"
998,"{internet,wifi,pool,kitchen,""free street parking"",""hot tub"",""indoor fireplace"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,""24-hour check-in"",hangers,iron,""laptop-friendly workspace"",""hot water"",""bed linens"",microwave,refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""patio or balcony"",""long term stays allowed"",""host greets you"",""baking sheet"",""trash can""}"
999,"{tv,internet,wifi,kitchen,""free parking on premises"",heating,""family/kid friendly"",""suitable for events"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,hangers,iron}"
1000,"{tv,""cable tv"",internet,wifi,""air conditioning"",""free parking on premises"",""pets live on this property"",cat(s),""free street parking"",""indoor fireplace"",heating,""family/kid friendly"",""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",lockbox,""private living room"",""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,""dishes and silverware"",""single level home"",""long term stays allowed""}"
1001,"{tv,""cable tv"",internet,wifi,""air conditioning"",""pets live on this property"",cat(s),""free street parking"",heating,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,refrigerator,other}"
1002,"{wifi,""air conditioning"",kitchen,""free parking on premises"",""pets allowed"",""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""host greets you""}"
1003,"{tv,wifi,kitchen,""free parking on premises"",""pets live on this property"",""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_50"",""self check-in"",keypad,""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed""}"
1004,"{tv,internet,wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",""indoor fireplace"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""high chair"",""pack ’n play/travel crib"",""room-darkening shades"",""hot water"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""patio or balcony"",""garden or backyard"",""long term stays allowed""}"
1005,"{internet,wifi,""free parking on premises"",""pets live on this property"",""free street parking"",""indoor fireplace"",""buzzer/wireless intercom"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",""ethernet connection"",microwave,refrigerator,""single level home"",""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed"",""host greets you""}"
1006,{}
1007,"{tv,internet,wifi,""air conditioning"",kitchen,""free parking on premises"",""hot tub"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""hot water"",other}"
1008,"{tv,wifi,pool,kitchen,""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,""hair dryer"",""laptop-friendly workspace"",""translation missing: en.hosting_amenity_50"",""hot water"",microwave,refrigerator,dishwasher,""dishes and silverware"",oven,stove,""host greets you"",""trash can""}"
1009,"{tv,""cable tv"",internet,wifi,""air conditioning"",""free parking on premises"",""free street parking"",heating,""family/kid friendly"",""smoke alarm"",""carbon monoxide alarm"",essentials,shampoo,""lock on bedroom door"",""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""private entrance"",""hot water"",""bed linens"",""extra pillows and blankets"",microwave,""coffee maker"",refrigerator,""shower gel""}"
1010,"{wifi,""air conditioning"",""free parking on premises"",""pets live on this property"",dog(s),""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""private entrance"",""hot water"",""bed linens"",microwave,refrigerator,""garden or backyard"",""long term stays allowed""}"
1011,"{wifi,""air conditioning"",kitchen,""pets live on this property"",cat(s),""free street parking"",heating,washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",essentials,shampoo,hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""hot water"",microwave,refrigerator,dishwasher,""dishes and silverware"",""host greets you""}"
1012,"{tv,""cable tv"",internet,wifi,kitchen,""free parking on premises"",""pets live on this property"",dog(s),""free street parking"",heating,""smoke alarm"",""carbon monoxide alarm"",""fire extinguisher"",essentials,shampoo,""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""hot water"",""coffee maker"",refrigerator,""dishes and silverware"",""cooking basics"",oven,stove,""single level home"",""garden or backyard"",""long term stays allowed"",other}"
1013,"{tv,""cable tv"",internet,wifi,""air conditioning"",kitchen,""free parking on premises"",""free street parking"",heating,""family/kid friendly"",washer,dryer,""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",essentials,shampoo,""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",""smart lock"",""private entrance"",bathtub,""children’s books and toys"",crib,""pack ’n play/travel crib"",""room-darkening shades"",""hot water"",""bed linens"",""extra pillows and blankets"",""ethernet connection"",microwave,""coffee maker"",refrigerator,dishwasher,""dishes and silverware"",""cooking basics"",oven,stove,""patio or balcony"",""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed"",""cleaning before checkout"",""trash can""}"
1014,"{tv,internet,wifi,""air conditioning"",kitchen,heating,""family/kid friendly"",""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""safety card"",""fire extinguisher"",essentials,shampoo,""24-hour check-in"",hangers,""hair dryer"",iron,""laptop-friendly workspace""}"
1015,"{tv,""cable tv"",wifi,kitchen,gym,""indoor fireplace"",heating,""family/kid friendly"",""suitable for events"",""smoke alarm"",""carbon monoxide alarm"",""first aid kit"",""fire extinguisher"",essentials,shampoo,""lock on bedroom door"",hangers,""hair dryer"",iron,""laptop-friendly workspace"",""self check-in"",keypad,""outlet covers"",""high chair"",""children’s books and toys"",""fireplace guards"",""babysitter recommendations"",crib,""pack ’n play/travel crib"",""children’s dinnerware"",microwave,""coffee maker"",refrigerator,dishwasher,""cooking basics"",stove,""single level home"",""bbq grill"",""garden or backyard"",""luggage dropoff allowed"",""long term stays allowed""}"
